county,city,address,date,lat,long
ADAIR,ACHILLE,1521 N LEWIS PLACE,1/20/2015,36.177977,-95.957144
ADAIR,BUNCH,26676 EAST 888 ROAD,7/10/2006,35.734161,-94.841498
ADAIR,STILWELL,120 NORTH 7TH STREET,7/2/2007,35.816848,-94.634226
ADAIR,STILWELL,120 SOUTH SEVENTH,8/22/2007,33.896491,-97.93226
ADAIR,STILWELL,6 RURAL ROUTE 1605,9/6/2007,35.861046,-97.93269
ADAIR,WATTS,1 CHEROKEE RURAL ROUTE,11/6/2007,36.109257,-94.568042
ADAIR,WATTS,315 3RD STREET,10/18/2012,36.107475,-94.574692
ADAIR,WESTVILLE,101 10 CHERRY E,3/26/2001,40.837478,-73.485499
ADAIR,WESTVILLE,506 SOUTH 2ND STREET,6/21/2007,35.809306,-94.62915
ADAIR,WESTVILLE,103 CHERRY 104,8/31/2011,34.271478,-98.233279
ADAIR,WESTVILLE,317 MAPLE STREET,8/31/2011,35.990441,-94.575569
ADAIR,WESTVILLE,415 2ND STREET,8/22/2012,35.991039,-94.563821
ALFALFA,ALINE,419 WALNUT,8/15/2011,36.50758,-98.448263
ATOKA,ATOKA,105 VOCA SW RD,5/3/2002,34.244234,-96.22026
ATOKA,ATOKA,1302 11TH E,1/10/2003,44.770132,-94.144976
BEAVER,BEAVER,910 G AVE 5,3/7/2002,34.831199,-95.840696
BEAVER,ELMWOOD,14 OF ELMWOOD HY 412 E,5/7/2002,35.603765,-95.859083
BECKHAM,CARTER,301 3RD S,4/2/2002,36.727051,-102.509959
BECKHAM,ELK CITY,230 SHELL,2/2/2002,35.420357,-99.401576
BECKHAM,ELK CITY,1200 VAN BUREN S 77,3/11/2002,44.922937,-93.39344
BECKHAM,ELK CITY,508 D W AVE,4/26/2002,35.412,-99.4043
BECKHAM,ELK CITY,820 OLIVER N,7/9/2003,35.260683,-94.460403
BECKHAM,ELK CITY,309 ADAMS S,10/29/2003,35.412,-99.4043
BECKHAM,ELK CITY,1202 BOONE S,11/18/2003,35.412,-99.4043
BECKHAM,ELK CITY,303 HOOVER CIR,12/4/2003,35.429555,-99.408184
BECKHAM,ELK CITY,1907 AVE B W,1/24/2004,35.412,-99.4043
BECKHAM,ELK CITY,310 WALKER S,2/19/2004,35.412,-99.4043
BECKHAM,ELK CITY,622 WEST EAST AVENUE,2/21/2009,35.418378,-99.411176
BECKHAM,ERICK,112 PINE S ST,4/4/2002,36.501814,-101.788407
BECKHAM,ERICK,102 PINE S,6/23/2004,35.214933,-99.864054
BECKHAM,SAYRE,611 SISSON E,11/11/2003,35.2912,-99.6401
BRYAN,BENNINGTON,3450 PIPELINE RD,2/1/2004,33.982648,-95.956336
BRYAN,BLUE,64 DAISY MAE,9/14/2004,33.995633,-96.227279
BRYAN,CADDO,602 RUSSELL ST,5/15/2004,34.127078,-96.268285
BRYAN,CADDO,407 CHOCTAW S,6/9/2004,34.122609,-96.269031
BRYAN,CALERA,618 MCKINLEY S ST 311,3/27/2001,35.309606,-97.946131
BRYAN,CALERA,513 RYAN E ST,4/23/2001,34.842388,-95.544972
BRYAN,CALERA,#3 SMISER W ST,5/1/2003,,
BRYAN,CARTWRIGHT,RT1 WILUFA WOODS RD 52,11/21/2003,33.998933,-96.556594
BRYAN,CARTWRIGHT,593 4TH AVE,1/12/2004,33.85802,-96.562315
BRYAN,CARTWRIGHT,2569 SAND CREEK RD,9/27/2005,33.8671,-96.562853
BRYAN,CARTWRIGHT,34 DERRYBERRY LANE,7/27/2007,33.88,-96.58
BRYAN,COLBERT,220 COLLINS STREET,7/15/2006,33.852242,-96.505035
BRYAN,DURANT,223 13TH N,3/28/2001,36.807037,-98.678122
BRYAN,DURANT,1901 MISSISSIPPI G75,1/10/2002,33.994,-96.3708
BRYAN,DURANT,1901 MISSISSIPPI H90,1/29/2002,33.994,-96.3708
BRYAN,DURANT,1312 6TH N ST 11,3/3/2002,35.754217,-98.748674
BRYAN,DURANT,401 13 S AVE,9/8/2002,35.633325,-97.483819
